city,n_states,bic,transitions,avg_state_duration,self_transition_prob,feature
Marseille,2,53.891847507009004,1,14.5,0.9762685094817273,ghg_emissions_ton
New York City,2,59.06204724917876,1,14.5,0.9712526093570988,ghg_emissions_ton
Oslo,3,63.679743396740776,2,9.666666666666666,0.944500248785765,ghg_emissions_ton
Rome,3,35.49365156410591,2,9.666666666666666,0.9423042654165997,ghg_emissions_ton
Toronto,2,85.25538977615379,3,7.25,0.8874293674876156,ghg_emissions_ton
Calgary,2,47.980155586148186,1,14.5,0.9726693426873501,nox_emissions_ton
Cape Town,3,15.516783266470995,2,9.666666666666666,0.8903314351209485,nox_emissions_ton
Hyderabad,3,47.406202860880654,2,9.666666666666666,0.9017171148386915,nox_emissions_ton
Kingston,2,52.534149273308984,1,14.5,0.9724203004828975,nox_emissions_ton
London,3,62.936076343503785,2,9.666666666666666,0.9314345202348054,nox_emissions_ton
Marseille,2,62.746477423844354,1,14.5,0.970546823583694,nox_emissions_ton
New York City,3,-15.96393771951253,2,9.666666666666666,0.9327710166614659,nox_emissions_ton
Oslo,2,62.798721130557496,2,9.666666666666666,0.926578433081138,nox_emissions_ton
Rome,2,70.48025241871186,1,14.5,0.9723017481086695,nox_emissions_ton
Toronto,3,17.52637594711812,2,9.666666666666666,0.9170642134914747,nox_emissions_ton
Calgary,2,78.86454191664163,1,14.5,0.9792404089367144,pm25_emissions_ton
Cape Town,3,-10.413928147765496,2,9.666666666666666,0.8960232824343293,pm25_emissions_ton
Hyderabad,3,47.71101508263111,2,9.666666666666666,0.9324823520520572,pm25_emissions_ton
Kingston,2,54.50706275603923,1,14.5,0.9706644479349558,pm25_emissions_ton
London,2,21.268914309047886,1,14.5,0.9612814009302387,pm25_emissions_ton
Marseille,3,64.7625072568946,2,9.666666666666666,0.9391283389136175,pm25_emissions_ton
New York City,2,68.8305576268321,1,14.5,0.9738077150199431,pm25_emissions_ton
Oslo,2,73.95186191835204,2,9.666666666666666,0.9257901311166964,pm25_emissions_ton
Rome,3,34.308845498721325,2,9.666666666666666,0.9197591830007065,pm25_emissions_ton
Toronto,2,64.12703741726108,2,9.666666666666666,0.9251889313721673,pm25_emissions_ton
